VIN (1-10),County,City,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
1C4RJXP63R,Thurston,Olympia,98501,2024,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,21,22,263014804,POINT (-122.89166 47.03956),PUGET SOUND ENERGY INC,53067010400
5YJ3E1EB4J,King,Duvall,98019,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,45,474456237,POINT (-121.98609 47.74068),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032402
1N4BZ1CP6K,Kitsap,Bremerton,98310,2019,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150,23,344436088,POINT (-122.61136 47.5752),PUGET SOUND ENERGY INC,53035080300
1G1RC6E43F,Thurston,Olympia,98501,2015,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,22,270808730,POINT (-122.89166 47.03956),PUGET SOUND ENERGY INC,53067010802
WAUSPBFF7J,King,Burien,98166,2018,AUDI,A3,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,16,34,349172330,POINT (-122.34102 47.46593),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033027901
ZACPDFCW7R,Thurston,Olympia,98512,2024,DODGE,HORNET,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32,35,262513982,POINT (-122.9131 47.01359),PUGET SOUND ENERGY INC,53067011821
7PDSGABL8P,Snohomish,Bothell,98021,2023,RIVIAN,R1S,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,1,260847485,POINT (-122.18384 47.8031),PUGET SOUND ENERGY INC,53061051932
5YJXCAE29L,King,Sammamish,98074,2020,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,293,45,2228670,POINT (-122.02054 47.60326),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032318
5YJ3E1EB7J,Thurston,Olympia,98501,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,35,474707096,POINT (-122.89166 47.03956),PUGET SOUND ENERGY INC,53067011722
5YJYGDEE6L,Snohomish,Bothell,98012,2020,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291,1,125792187,POINT (-122.21061 47.83448),PUGET SOUND ENERGY INC,53061052009
5YJ3E1EB6J,Island,Oak Harbor,98277,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,10,272862600,POINT (-122.64682 48.29077),PUGET SOUND ENERGY INC,53029970601
7SAYGDEE2N,Yakima,Tieton,98947,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,14,273804128,POINT (-120.75541 46.70257),PACIFICORP,53077002900
1N4AZ0CP4F,Thurston,Olympia,98506,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,22,157428841,POINT (-122.87741 47.05997),PUGET SOUND ENERGY INC,53067010200
5YJXCDE20L,Thurston,Olympia,98513,2020,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,289,2,127502455,POINT (-122.81754 46.98876),PUGET SOUND ENERGY INC,53067012331
5YJ3E1EB8J,Snohomish,Lynnwood,98036,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,32,132876131,POINT (-122.29245 47.82557),PUGET SOUND ENERGY INC,53061051930
1N4AZ0CP5F,Kitsap,Bremerton,98310,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,23,231472664,POINT (-122.61136 47.5752),PUGET SOUND ENERGY INC,53035080300
